Mês,Data,ID_Transacao,Produto,Categoria,Regiao,Quantidade,Preco_Unitario,Receita_Total
Abril,2025-04-09,TRANS_20250409_0039,Teclado,Acessorios,Sudeste,1,726.16,726.16
Abril,2025-04-22,TRANS_20250422_0040,Teclado,Perifericos,Centro-Oeste,1,1126.94,1126.94
Abril,2025-04-18,TRANS_20250418_0041,Mouse,Perifericos,Nordeste,1,232.89,232.89
Abril,2025-04-29,TRANS_20250429_0042,Fone de Ouvido,Perifericos,Norte,1,1101.4,1101.4
Abril,2025-04-02,TRANS_20250402_0043,Teclado,Perifericos,Norte,2,549.91,1099.82
Abril,2025-04-15,TRANS_20250415_0044,Fone de Ouvido,Eletronicos,Norte,1,1010.94,1010.94
Abril,2025-04-06,TRANS_20250406_0045,Monitor,Eletronicos,Sudeste,4,573.88,2295.52
Abril,2025-04-13,TRANS_20250413_0046,Mouse,Acessorios,Centro-Oeste,1,595.84,595.84
Abril,2025-04-14,TRANS_20250414_0047,Webcam,Acessorios,Sul,3,1322.28,3966.84
Abril,2025-04-24,TRANS_20250424_0048,Fone de Ouvido,Perifericos,Sudeste,4,204.45,817.8
Abril,2025-04-20,TRANS_20250420_0049,Monitor,Perifericos,Norte,1,1020.35,1020.35
Abril,2025-04-25,TRANS_20250425_0050,Fone de Ouvido,Acessorios,Sudeste,2,886.1,1772.2
Abril,2025-04-06,TRANS_20250406_0051,Webcam,Acessorios,Sul,4,919.94,3679.76
Abril,2025-04-25,TRANS_20250425_0052,Impressora,Eletronicos,Sul,1,1400.5,1400.5
Abril,2025-04-15,TRANS_20250415_0053,Impressora,Perifericos,Norte,1,407.8,407.8
Abril,2025-04-13,TRANS_20250413_0054,Fone de Ouvido,Acessorios,Sudeste,1,511.69,511.69
Abril,2025-04-18,TRANS_20250418_0055,Teclado,Eletronicos,Sudeste,1,689.04,689.04
Abril,2025-04-24,TRANS_20250424_0056,Teclado,Perifericos,Nordeste,2,278.28,556.56
Abril,2025-04-19,TRANS_20250419_0057,Mouse,Perifericos,Centro-Oeste,3,905.63,2716.89
Abril,2025-04-02,TRANS_20250402_0058,Monitor,Acessorios,Sul,2,692.82,1385.64
Abril,2025-04-03,TRANS_20250403_0059,Roteador,Perifericos,Nordeste,4,1132.01,4528.04
Abril,2025-04-16,TRANS_20250416_0060,Mouse,Eletronicos,Sudeste,4,320.98,1283.92
Abril,2025-04-25,TRANS_20250425_0061,Impressora,Acessorios,Centro-Oeste,1,390.45,390.45
Abril,2025-04-18,TRANS_20250418_0062,Monitor,Acessorios,Sul,1,1448.6,1448.6
Abril,2025-04-17,TRANS_20250417_0063,Impressora,Acessorios,Sudeste,1,1093.41,1093.41
Abril,2025-04-05,TRANS_20250405_0064,Teclado,Eletronicos,Nordeste,4,236.4,945.6
Abril,2025-04-24,TRANS_20250424_0065,Laptop,Acessorios,Sul,1,315.69,315.69
Abril,2025-04-07,TRANS_20250407_0066,Mouse,Acessorios,Norte,4,1341.84,5367.36
Abril,2025-04-04,TRANS_20250404_0067,Mouse,Perifericos,Sudeste,4,235.28,941.12
Abril,2025-04-15,TRANS_20250415_0068,Roteador,Perifericos,Sul,1,958.82,958.82
Abril,2025-04-13,TRANS_20250413_0069,Fone de Ouvido,Eletronicos,Nordeste,4,530.48,2121.92
Abril,2025-04-22,TRANS_20250422_0070,Webcam,Eletronicos,Centro-Oeste,3,958.98,2876.94
Abril,2025-04-27,TRANS_20250427_0071,Mouse,Acessorios,Centro-Oeste,2,592.82,1185.64
Abril,2025-04-23,TRANS_20250423_0072,Impressora,Acessorios,Norte,1,92.43,92.43
Abril,2025-04-29,TRANS_20250429_0073,Monitor,Acessorios,Sul,2,757.23,1514.46
Abril,2025-04-02,TRANS_20250402_0074,Mouse,Perifericos,Centro-Oeste,1,1473.96,1473.96
Abril,2025-04-07,TRANS_20250407_0075,Fone de Ouvido,Acessorios,Sudeste,2,176.15,352.3
Abril,2025-04-04,TRANS_20250404_0076,Roteador,Acessorios,Sudeste,4,288.77,1155.08
Abril,2025-04-09,TRANS_20250409_0077,Fone de Ouvido,Acessorios,Sudeste,3,627.05,1881.15
Abril,2025-04-05,TRANS_20250405_0078,Webcam,Acessorios,Nordeste,4,729.5,2918.0
Abril,2025-04-30,TRANS_20250430_0079,Laptop,Eletronicos,Centro-Oeste,2,1134.47,2268.94
Abril,2025-04-25,TRANS_20250425_0080,Laptop,Perifericos,Centro-Oeste,1,861.07,861.07
Abril,2025-04-28,TRANS_20250428_0081,Webcam,Eletronicos,Nordeste,1,560.52,560.52
Abril,2025-04-14,TRANS_20250414_0082,Monitor,Acessorios,Nordeste,4,1452.24,5808.96
Abril,2025-04-23,TRANS_20250423_0083,Monitor,Acessorios,Norte,4,1436.96,5747.84
Abril,2025-04-23,TRANS_20250423_0084,Laptop,Acessorios,Sul,3,1382.36,4147.08
Abril,2025-04-15,TRANS_20250415_0085,Roteador,Perifericos,Centro-Oeste,2,1045.43,2090.86
Abril,2025-04-29,TRANS_20250429_0086,Webcam,Perifericos,Centro-Oeste,3,1369.15,4107.45
Abril,2025-04-11,TRANS_20250411_0087,Mouse,Eletronicos,Sul,1,768.22,768.22
Abril,2025-04-20,TRANS_20250420_0088,Laptop,Perifericos,Nordeste,4,664.01,2656.04
Abril,2025-04-08,TRANS_20250408_0089,Laptop,Acessorios,Nordeste,4,1271.45,5085.8
Abril,2025-04-09,TRANS_20250409_0090,Fone de Ouvido,Eletronicos,Norte,4,533.52,2134.08
Abril,2025-04-03,TRANS_20250403_0091,Mouse,Acessorios,Centro-Oeste,4,1342.98,5371.92
Abril,2025-04-24,TRANS_20250424_0092,Fone de Ouvido,Perifericos,Centro-Oeste,2,995.76,1991.52
Abril,2025-04-14,TRANS_20250414_0093,Webcam,Acessorios,Norte,1,1007.86,1007.86
Abril,2025-04-02,TRANS_20250402_0094,Impressora,Perifericos,Nordeste,2,979.34,1958.68
Abril,2025-04-25,TRANS_20250425_0095,Mouse,Acessorios,Nordeste,3,627.72,1883.16
Abril,2025-04-02,TRANS_20250402_0096,Webcam,Eletronicos,Nordeste,3,502.19,1506.57
Abril,2025-04-17,TRANS_20250417_0097,Laptop,Acessorios,Norte,3,1493.39,4480.17
Abril,2025-04-27,TRANS_20250427_0098,Webcam,Eletronicos,Sudeste,4,1463.39,5853.56
Abril,2025-04-14,TRANS_20250414_0099,Monitor,Perifericos,Sul,3,733.45,2200.35
Abril,2025-04-07,TRANS_20250407_0100,Fone de Ouvido,Acessorios,Nordeste,2,755.15,1510.3
Abril,2025-04-15,TRANS_20250415_0101,Impressora,Eletronicos,Sul,4,1358.44,5433.76
Abril,2025-04-29,TRANS_20250429_0102,Impressora,Acessorios,Nordeste,3,1082.28,3246.84
Abril,2025-04-14,TRANS_20250414_0103,Fone de Ouvido,Acessorios,Norte,1,617.87,617.87
Abril,2025-04-19,TRANS_20250419_0104,Webcam,Eletronicos,Nordeste,4,305.43,1221.72
Abril,2025-04-16,TRANS_20250416_0105,Roteador,Perifericos,Nordeste,2,1311.6,2623.2
Abril,2025-04-23,TRANS_20250423_0106,Webcam,Perifericos,Nordeste,3,457.31,1371.93
Abril,2025-04-03,TRANS_20250403_0107,Fone de Ouvido,Acessorios,Nordeste,2,89.55,179.1
Abril,2025-04-12,TRANS_20250412_0108,Roteador,Acessorios,Nordeste,4,703.86,2815.44
Abril,2025-04-02,TRANS_20250402_0109,Teclado,Acessorios,Norte,4,158.3,633.2
Abril,2025-04-03,TRANS_20250403_0110,Laptop,Eletronicos,Nordeste,1,1468.32,1468.32
Abril,2025-04-14,TRANS_20250414_0111,Impressora,Eletronicos,Nordeste,4,1168.64,4674.56
Abril,2025-04-16,TRANS_20250416_0112,Webcam,Eletronicos,Sul,4,831.02,3324.08
Abril,2025-04-10,TRANS_20250410_0113,Roteador,Eletronicos,Sul,3,413.02,1239.06
Abril,2025-04-12,TRANS_20250412_0114,Laptop,Eletronicos,Norte,4,150.21,600.84
Abril,2025-04-11,TRANS_20250411_0115,Fone de Ouvido,Perifericos,Sudeste,2,700.0,1400.0
Abril,2025-04-19,TRANS_20250419_0116,Roteador,Perifericos,Centro-Oeste,4,658.84,2635.36
Abril,2025-04-06,TRANS_20250406_0117,Teclado,Eletronicos,Sul,1,1026.4,1026.4
Abril,2025-04-28,TRANS_20250428_0118,Teclado,Perifericos,Norte,1,918.64,918.64
Abril,2025-04-07,TRANS_20250407_0119,Impressora,Eletronicos,Norte,3,915.16,2745.48
Abril,2025-04-17,TRANS_20250417_0120,Fone de Ouvido,Perifericos,Centro-Oeste,4,963.07,3852.28
Abril,2025-04-11,TRANS_20250411_0121,Fone de Ouvido,Acessorios,Nordeste,2,1347.79,2695.58
Abril,2025-04-03,TRANS_20250403_0122,Fone de Ouvido,Perifericos,Norte,3,751.81,2255.43
Abril,2025-04-18,TRANS_20250418_0123,Fone de Ouvido,Acessorios,Norte,3,129.99,389.97
Abril,2025-04-27,TRANS_20250427_0124,Mouse,Perifericos,Nordeste,3,755.7,2267.1
Abril,2025-04-20,TRANS_20250420_0125,Impressora,Eletronicos,Sudeste,1,287.3,287.3
Abril,2025-04-18,TRANS_20250418_0126,Fone de Ouvido,Acessorios,Centro-Oeste,2,1441.72,2883.44
Abril,2025-04-23,TRANS_20250423_0127,Monitor,Perifericos,Sudeste,2,565.1,1130.2
Abril,2025-04-09,TRANS_20250409_0128,Roteador,Eletronicos,Sul,2,1268.75,2537.5
Abril,2025-04-26,TRANS_20250426_0129,Impressora,Perifericos,Sul,1,473.21,473.21
Abril,2025-04-07,TRANS_20250407_0130,Impressora,Eletronicos,Sudeste,3,580.44,1741.32
Abril,2025-04-29,TRANS_20250429_0131,Teclado,Perifericos,Centro-Oeste,3,343.01,1029.03
Abril,2025-04-21,TRANS_20250421_0132,Mouse,Acessorios,Sudeste,4,496.64,1986.56
Abril,2025-04-11,TRANS_20250411_0133,Roteador,Acessorios,Sudeste,3,537.01,1611.03
Abril,2025-04-13,TRANS_20250413_0134,Webcam,Perifericos,Sul,1,487.51,487.51
Abril,2025-04-02,TRANS_20250402_0135,Fone de Ouvido,Eletronicos,Sudeste,3,1190.74,3572.22
Abril,2025-04-29,TRANS_20250429_0136,Teclado,Acessorios,Centro-Oeste,4,415.92,1663.68
Abril,2025-04-05,TRANS_20250405_0137,Webcam,Eletronicos,Sul,1,1359.43,1359.43
Abril,2025-04-10,TRANS_20250410_0138,Monitor,Acessorios,Nordeste,4,962.28,3849.12
Abril,2025-04-12,TRANS_20250412_0139,Teclado,Perifericos,Centro-Oeste,3,97.41,292.23
Abril,2025-04-03,TRANS_20250403_0140,Fone de Ouvido,Eletronicos,Centro-Oeste,2,1160.82,2321.64
Abril,2025-04-27,TRANS_20250427_0141,Webcam,Acessorios,Sudeste,3,1383.01,4149.03
Abril,2025-04-28,TRANS_20250428_0142,Laptop,Eletronicos,Nordeste,2,241.71,483.42
Abril,2025-04-23,TRANS_20250423_0143,Laptop,Acessorios,Centro-Oeste,1,728.3,728.3
Abril,2025-04-08,TRANS_20250408_0144,Mouse,Acessorios,Sudeste,3,546.97,1640.91
Abril,2025-04-26,TRANS_20250426_0145,Impressora,Perifericos,Norte,1,726.88,726.88
Abril,2025-04-04,TRANS_20250404_0146,Webcam,Eletronicos,Norte,4,244.65,978.6
Abril,2025-04-11,TRANS_20250411_0147,Webcam,Perifericos,Centro-Oeste,4,909.33,3637.32
Abril,2025-04-16,TRANS_20250416_0148,Roteador,Perifericos,Sudeste,3,655.89,1967.67
Abril,2025-04-14,TRANS_20250414_0149,Mouse,Acessorios,Sudeste,4,270.12,1080.48
Abril,2025-04-15,TRANS_20250415_0150,Laptop,Acessorios,Sul,2,345.47,690.94
Abril,2025-04-29,TRANS_20250429_0151,Roteador,Acessorios,Nordeste,3,52.98,158.94
Abril,2025-04-16,TRANS_20250416_0152,Webcam,Perifericos,Nordeste,3,909.3,2727.9
Abril,2025-04-08,TRANS_20250408_0153,Monitor,Acessorios,Centro-Oeste,1,1430.1,1430.1
Abril,2025-04-25,TRANS_20250425_0154,Roteador,Perifericos,Sul,1,1305.01,1305.01
Abril,2025-04-11,TRANS_20250411_0155,Monitor,Acessorios,Centro-Oeste,1,886.33,886.33
Abril,2025-04-25,TRANS_20250425_0156,Teclado,Perifericos,Centro-Oeste,1,918.67,918.67
Abril,2025-04-12,TRANS_20250412_0157,Webcam,Eletronicos,Sul,4,1401.92,5607.68
Abril,2025-04-09,TRANS_20250409_0158,Mouse,Acessorios,Sudeste,4,181.3,725.2
Abril,2025-04-29,TRANS_20250429_0159,Impressora,Perifericos,Centro-Oeste,3,343.93,1031.79
Abril,2025-04-12,TRANS_20250412_0160,Webcam,Perifericos,Nordeste,2,837.12,1674.24
Abril,2025-04-27,TRANS_20250427_0161,Impressora,Perifericos,Nordeste,3,1326.93,3980.79
Abril,2025-04-15,TRANS_20250415_0162,Fone de Ouvido,Eletronicos,Sudeste,3,1278.83,3836.49
Abril,2025-04-01,TRANS_20250401_0163,Mouse,Acessorios,Sudeste,1,621.38,621.38
Abril,2025-04-08,TRANS_20250408_0164,Impressora,Perifericos,Sudeste,2,1180.6,2361.2
Abril,2025-04-15,TRANS_20250415_0165,Laptop,Perifericos,Sudeste,1,617.19,617.19
Abril,2025-04-28,TRANS_20250428_0166,Roteador,Eletronicos,Norte,4,1120.32,4481.28
Abril,2025-04-24,TRANS_20250424_0167,Monitor,Acessorios,Centro-Oeste,2,492.64,985.28
Abril,2025-04-12,TRANS_20250412_0168,Fone de Ouvido,Acessorios,Norte,4,977.42,3909.68
Abril,2025-04-21,TRANS_20250421_0169,Fone de Ouvido,Eletronicos,Sudeste,3,737.29,2211.87
Abril,2025-04-06,TRANS_20250406_0170,Fone de Ouvido,Eletronicos,Centro-Oeste,3,1178.88,3536.64
Abril,2025-04-05,TRANS_20250405_0171,Monitor,Eletronicos,Sul,4,1107.88,4431.52
Abril,2025-04-29,TRANS_20250429_0172,Monitor,Eletronicos,Norte,1,464.08,464.08
Abril,2025-04-11,TRANS_20250411_0173,Laptop,Eletronicos,Centro-Oeste,4,604.8,2419.2
Abril,2025-04-18,TRANS_20250418_0174,Roteador,Acessorios,Norte,2,123.61,247.22
Abril,2025-04-24,TRANS_20250424_0175,Fone de Ouvido,Acessorios,Sul,3,1151.44,3454.32
Abril,2025-04-04,TRANS_20250404_0176,Teclado,Acessorios,Sudeste,3,734.8,2204.4
Abril,2025-04-01,TRANS_20250401_0177,Monitor,Perifericos,Centro-Oeste,1,238.05,238.05
Abril,2025-04-10,TRANS_20250410_0178,Webcam,Perifericos,Nordeste,2,620.16,1240.32
Abril,2025-04-17,TRANS_20250417_0179,Roteador,Acessorios,Nordeste,2,550.18,1100.36
Abril,2025-04-11,TRANS_20250411_0180,Webcam,Perifericos,Nordeste,3,1068.81,3206.43
Abril,2025-04-14,TRANS_20250414_0181,Laptop,Perifericos,Centro-Oeste,2,494.14,988.28
Abril,2025-04-02,TRANS_20250402_0182,Webcam,Acessorios,Centro-Oeste,1,1312.91,1312.91
Abril,2025-04-25,TRANS_20250425_0183,Fone de Ouvido,Acessorios,Sul,1,1333.27,1333.27
Abril,2025-04-23,TRANS_20250423_0184,Roteador,Acessorios,Centro-Oeste,2,423.25,846.5
Abril,2025-04-20,TRANS_20250420_0185,Mouse,Eletronicos,Nordeste,3,255.79,767.37
Abril,2025-04-02,TRANS_20250402_0186,Webcam,Acessorios,Nordeste,3,712.92,2138.76
Abril,2025-04-19,TRANS_20250419_0187,Roteador,Acessorios,Centro-Oeste,4,809.93,3239.72
Abril,2025-04-04,TRANS_20250404_0188,Monitor,Perifericos,Nordeste,2,899.37,1798.74
Abril,2025-04-13,TRANS_20250413_0189,Mouse,Acessorios,Norte,4,530.19,2120.76
Abril,2025-04-06,TRANS_20250406_0190,Mouse,Perifericos,Norte,2,409.39,818.78
Abril,2025-04-25,TRANS_20250425_0191,Webcam,Perifericos,Sul,4,1207.78,4831.12
Abril,2025-04-22,TRANS_20250422_0192,Monitor,Acessorios,Sul,1,860.98,860.98
Abril,2025-04-11,TRANS_20250411_0193,Teclado,Perifericos,Nordeste,3,832.54,2497.62
Abril,2025-04-06,TRANS_20250406_0194,Fone de Ouvido,Eletronicos,Sudeste,3,949.38,2848.14
Abril,2025-04-25,TRANS_20250425_0195,Fone de Ouvido,Perifericos,Centro-Oeste,2,877.53,1755.06
Abril,2025-04-16,TRANS_20250416_0196,Teclado,Eletronicos,Sul,1,1171.04,1171.04
Abril,2025-04-07,TRANS_20250407_0197,Webcam,Eletronicos,Sul,1,1374.46,1374.46
Abril,2025-04-15,TRANS_20250415_0198,Fone de Ouvido,Acessorios,Centro-Oeste,3,1281.55,3844.65
Abril,2025-04-08,TRANS_20250408_0199,Impressora,Eletronicos,Norte,2,1047.05,2094.1
Abril,2025-04-07,TRANS_20250407_0200,Impressora,Acessorios,Sul,1,351.92,351.92
Agosto,2025-08-11,TRANS_20250811_0001,Webcam,Acessorios,Nordeste,1,645.15,645.15
Agosto,2025-08-16,TRANS_20250816_0002,Monitor,Acessorios,Nordeste,3,986.23,2958.69
Agosto,2025-08-17,TRANS_20250817_0003,Mouse,Perifericos,Centro-Oeste,1,760.95,760.95
Agosto,2025-08-26,TRANS_20250826_0004,Monitor,Acessorios,Nordeste,4,70.71,282.84
Agosto,2025-08-10,TRANS_20250810_0005,Laptop,Perifericos,Centro-Oeste,3,280.93,842.79
Agosto,2025-08-04,TRANS_20250804_0006,Laptop,Acessorios,Sul,2,1412.55,2825.1
Agosto,2025-08-12,TRANS_20250812_0007,Mouse,Acessorios,Sudeste,3,1030.56,3091.68
Agosto,2025-08-10,TRANS_20250810_0008,Roteador,Perifericos,Nordeste,3,766.42,2299.26
Agosto,2025-08-22,TRANS_20250822_0009,Roteador,Perifericos,Nordeste,4,791.77,3167.08
Agosto,2025-08-01,TRANS_20250801_0010,Webcam,Perifericos,Centro-Oeste,1,1005.69,1005.69
Agosto,2025-08-16,TRANS_20250816_0011,Webcam,Eletronicos,Sudeste,3,1391.39,4174.17
Agosto,2025-08-31,TRANS_20250831_0012,Webcam,Perifericos,Centro-Oeste,1,51.08,51.08
Agosto,2025-08-29,TRANS_20250829_0013,Teclado,Eletronicos,Norte,4,1086.33,4345.32
Agosto,2025-08-30,TRANS_20250830_0014,Mouse,Perifericos,Norte,4,144.49,577.96
Agosto,2025-08-09,TRANS_20250809_0015,Monitor,Acessorios,Norte,3,1308.37,3925.11
Agosto,2025-08-03,TRANS_20250803_0016,Impressora,Eletronicos,Sudeste,2,1194.9,2389.8
Agosto,2025-08-14,TRANS_20250814_0017,Mouse,Perifericos,Sul,4,790.62,3162.48
Agosto,2025-08-23,TRANS_20250823_0018,Impressora,Acessorios,Nordeste,4,1320.84,5283.36
Agosto,2025-08-20,TRANS_20250820_0019,Mouse,Perifericos,Nordeste,1,169.07,169.07
Agosto,2025-08-05,TRANS_20250805_0020,Roteador,Acessorios,Sul,1,1108.2,1108.2
Agosto,2025-08-16,TRANS_20250816_0021,Laptop,Acessorios,Sul,3,474.75,1424.25
Agosto,2025-08-27,TRANS_20250827_0022,Mouse,Eletronicos,Sul,1,1445.28,1445.28
Agosto,2025-08-10,TRANS_20250810_0023,Laptop,Eletronicos,Sul,4,143.3,573.2
Agosto,2025-08-04,TRANS_20250804_0024,Impressora,Eletronicos,Nordeste,2,1299.94,2599.88
Agosto,2025-08-16,TRANS_20250816_0025,Monitor,Acessorios,Sudeste,3,284.19,852.57
Agosto,2025-08-15,TRANS_20250815_0026,Monitor,Acessorios,Sudeste,2,813.12,1626.24
Agosto,2025-08-26,TRANS_20250826_0027,Monitor,Eletronicos,Sudeste,3,423.18,1269.54
Agosto,2025-08-13,TRANS_20250813_0028,Impressora,Perifericos,Centro-Oeste,4,1182.32,4729.28
Agosto,2025-08-04,TRANS_20250804_0029,Impressora,Eletronicos,Norte,1,270.96,270.96
Agosto,2025-08-09,TRANS_20250809_0030,Webcam,Perifericos,Sudeste,1,349.93,349.93
Agosto,2025-08-22,TRANS_20250822_0031,Impressora,Acessorios,Nordeste,1,775.08,775.08
Agosto,2025-08-29,TRANS_20250829_0032,Fone de Ouvido,Eletronicos,Centro-Oeste,4,178.26,713.04
Agosto,2025-08-06,TRANS_20250806_0033,Monitor,Eletronicos,Norte,2,928.64,1857.28
Agosto,2025-08-08,TRANS_20250808_0034,Roteador,Eletronicos,Sul,1,466.37,466.37
Agosto,2025-08-24,TRANS_20250824_0035,Webcam,Acessorios,Norte,4,204.31,817.24
Agosto,2025-08-11,TRANS_20250811_0036,Roteador,Acessorios,Norte,1,657.27,657.27
Agosto,2025-08-09,TRANS_20250809_0037,Mouse,Eletronicos,Nordeste,4,504.73,2018.92
Agosto,2025-08-21,TRANS_20250821_0038,Teclado,Acessorios,Sul,2,281.3,562.6
Agosto,2025-08-17,TRANS_20250817_0039,Mouse,Perifericos,Sudeste,1,1068.31,1068.31
Agosto,2025-08-05,TRANS_20250805_0040,Monitor,Eletronicos,Nordeste,1,1317.19,1317.19
Agosto,2025-08-15,TRANS_20250815_0041,Teclado,Acessorios,Norte,1,1366.13,1366.13
Agosto,2025-08-15,TRANS_20250815_0042,Mouse,Eletronicos,Sudeste,2,1060.78,2121.56
Agosto,2025-08-04,TRANS_20250804_0043,Monitor,Eletronicos,Sul,3,281.88,845.64
Agosto,2025-08-02,TRANS_20250802_0044,Teclado,Acessorios,Sul,2,563.5,1127.0
Agosto,2025-08-30,TRANS_20250830_0045,Laptop,Perifericos,Sul,3,1311.48,3934.44
Agosto,2025-08-29,TRANS_20250829_0046,Laptop,Perifericos,Norte,4,1165.6,4662.4
Agosto,2025-08-16,TRANS_20250816_0047,Teclado,Acessorios,Centro-Oeste,1,927.65,927.65
Agosto,2025-08-28,TRANS_20250828_0048,Fone de Ouvido,Acessorios,Nordeste,1,71.29,71.29
Agosto,2025-08-01,TRANS_20250801_0049,Teclado,Acessorios,Norte,4,273.74,1094.96
Agosto,2025-08-29,TRANS_20250829_0050,Laptop,Eletronicos,Centro-Oeste,2,1154.18,2308.36
Agosto,2025-08-22,TRANS_20250822_0051,Fone de Ouvido,Eletronicos,Norte,1,416.54,416.54
Agosto,2025-08-07,TRANS_20250807_0052,Monitor,Perifericos,Sul,4,64.18,256.72
Agosto,2025-08-06,TRANS_20250806_0053,Mouse,Eletronicos,Nordeste,1,1329.01,1329.01
Agosto,2025-08-21,TRANS_20250821_0054,Webcam,Perifericos,Sul,4,1048.42,4193.68
Agosto,2025-08-27,TRANS_20250827_0055,Impressora,Perifericos,Centro-Oeste,1,643.79,643.79
Agosto,2025-08-04,TRANS_20250804_0056,Monitor,Acessorios,Sudeste,2,1492.47,2984.94
Agosto,2025-08-04,TRANS_20250804_0057,Impressora,Eletronicos,Nordeste,3,786.42,2359.26
Agosto,2025-08-16,TRANS_20250816_0058,Monitor,Acessorios,Nordeste,2,209.56,419.12
Agosto,2025-08-02,TRANS_20250802_0059,Fone de Ouvido,Perifericos,Sul,1,267.84,267.84
Agosto,2025-08-01,TRANS_20250801_0060,Mouse,Eletronicos,Centro-Oeste,3,876.6,2629.8
Agosto,2025-08-27,TRANS_20250827_0061,Webcam,Perifericos,Sudeste,4,1021.11,4084.44
Agosto,2025-08-03,TRANS_20250803_0062,Fone de Ouvido,Perifericos,Sul,1,92.15,92.15
Agosto,2025-08-17,TRANS_20250817_0063,Impressora,Perifericos,Norte,4,123.85,495.4
Agosto,2025-08-21,TRANS_20250821_0064,Mouse,Acessorios,Sudeste,2,1497.99,2995.98
Agosto,2025-08-18,TRANS_20250818_0065,Monitor,Perifericos,Nordeste,4,308.75,1235.0
